San Benigno Canavese comune,San Benigno Canavese comune.1
,
San Benigno Canavese – VedutaUno scorcio del centro storico,San Benigno Canavese – VedutaUno scorcio del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alberto Graffino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°13′37.39″N 7°47′06.08″E
Altitudine,200 m s.l.m.
Superficie,"22,23 km²"
Abitanti,6 047[1] (30-11-2025)
Densità,"272,02 ab./km²"
Frazioni,"Cascina Bruciata, Cascina Mure"
Comuni confinanti,"Bosconero, Chivasso, Foglizzo, Lombardore, Montanaro, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001236
Cod. catastale,H775
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,sambenignesi
Patrono,"san Tiburzio, santi Primo e Feliciano."
Giorno festivo,14 luglio
Cartografia,Cartografia
San Benigno Canavese,San Benigno Canavese
San Benigno Canavese – MappaLocalizzazione del comune di San Benigno Canavese nella città metropolitana di Torino.,San Benigno Canavese – MappaLocalizzazione del comune di San Benigno Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
