Fiorano Canavese comune,Fiorano Canavese comune.1
,
Fiorano Canavese – VedutaIl centro storico,Fiorano Canavese – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luigi Cunti (lista civica Fiorano Futura - Cunti Sindaco) dal 10-6-2024
Territorio,Territorio
Coordinate,45°28′03.93″N 7°50′01.38″E
Altitudine,256 m (minima 239m massima 361m) m s.l.m.
Superficie,"4,35 km²"
Abitanti,728[1] (30-11-2025)
Densità,"167,36 ab./km²"
Comuni confinanti,"Banchette, Ivrea, Lessolo, Loranzè, Montalto Dora, Salerano Canavese, Samone, Val di Chy"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001105
Cod. catastale,D608
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 741 GG[3]"
Nome abitanti,fioranesi
Patrono,san Dalmazzo
Cartografia,Cartografia
Fiorano Canavese,Fiorano Canavese
Fiorano Canavese – MappaLocalizzazione del comune di Fiorano Canavese nella città metropolitana di Torino.,Fiorano Canavese – MappaLocalizzazione del comune di Fiorano Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
