Burolo comune,Burolo comune.1
,
Burolo – VedutaLa Chiesa Parrocchiale,Burolo – VedutaLa Chiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Franco Cominetto (lista civica Forze democratiche burolesi) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°28′52.18″N 7°56′02.11″E
Altitudine,276 m s.l.m.
Superficie,"5,48 km²"
Abitanti,1 097[1] (30-11-2025)
Densità,"200,18 ab./km²"
Comuni confinanti,"Bollengo, Cascinette d'Ivrea, Chiaverano, Ivrea, Torrazzo (BI)"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001042
Cod. catastale,B279
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 771 GG[3]"
Nome abitanti,burolesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Burolo,Burolo
Burolo – MappaLocalizzazione del comune di Burolo nella città metropolitana di Torino.,Burolo – MappaLocalizzazione del comune di Burolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
