Vinovo comune,Vinovo comune.1
,
"Vinovo – VedutaPiazza Marconi con la fontana, sullo sfondo il Palazzo Comunale e la Torre dell’Orologio.","Vinovo – VedutaPiazza Marconi con la fontana, sullo sfondo il Palazzo Comunale e la Torre dell’Orologio."
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maria Grazia Midollini (liste civiche di centro-sinistra) dal 12-06-2024
Data di istituzione,1458
Territorio,Territorio
Coordinate,44°57′N 7°38′E
Altitudine,232 m s.l.m.
Superficie,"17,69 km²"
Abitanti,15 292[1] (30-11-2025)
Densità,"864,44 ab./km²"
Frazioni,"Garino, Tetti Berta, Tetti Borno, Tetti Caglieri, Tetti Grella, Tetti Rosa"
Comuni confinanti,"Candiolo, Carignano, La Loggia, Moncalieri, Nichelino, Piobesi Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10048
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001309
Cod. catastale,M060
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 573 GG[3]"
Nome abitanti,Vinovesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
PIL procapite,(nominale) 23.938€ nel 2018
Cartografia,Cartografia
Vinovo,Vinovo
Vinovo – MappaLocalizzazione del comune di Vinovo nella città metropolitana di Torino.,Vinovo – MappaLocalizzazione del comune di Vinovo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
