Mazzè comune,Mazzè comune.1
,
Mazzè – Veduta,Mazzè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Formia (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°18′00.92″N 7°55′57.8″E
Altitudine,323 m s.l.m.
Superficie,"27,34 km²"
Abitanti,4 295[1] (30-11-2025)
Densità,"157,1 ab./km²"
Frazioni,"Barengo, Casale, Tonengo"
Comuni confinanti,"Caluso, Candia Canavese, Chivasso, Cigliano (VC), Moncrivello (VC), Rondissone, Villareggia, Vische"
Altre informazioni,Altre informazioni
Cod. postale,10035
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001148
Cod. catastale,F067
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 838 GG[3]"
Nome abitanti,mazzediesi
Patrono,Maria santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Mazzè,Mazzè
Mazzè – MappaLocalizzazione del comune di Mazzè nella città metropolitana di Torino.,Mazzè – MappaLocalizzazione del comune di Mazzè nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
