Mompantero comune,Mompantero comune.1
,
"Mompantero – VedutaVia principale, in frazione Pietrastretta","Mompantero – VedutaVia principale, in frazione Pietrastretta"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Davide Gastaldo (lista civica Un futuro a Mompantero) dal 4-10-2021
Territorio,Territorio
Coordinate,45°08′31.35″N 7°03′52.59″E
Altitudine,531[1] m s.l.m.
Superficie,"30,33 km²"
Abitanti,614[2] (30-11-2025)
Densità,"20,24 ab./km²"
Frazioni,"Grangia, Marzano, Pietrastretta, San Giuseppe, Seghino, Trinità, Urbiano"
Comuni confinanti,"Bussoleno, Giaglione, Novalesa, Susa, Usseglio, Venaus"
Altre informazioni,Altre informazioni
Cod. postale,10059
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001154
Cod. catastale,F318
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 3 302 GG[4]"
Nome abitanti,mompanteresi
Patrono,Madonna del Rocciamelone
Giorno festivo,5 agosto
Cartografia,Cartografia
Mompantero,Mompantero
Mompantero – MappaLocalizzazione del comune di Mompantero nella città metropolitana di Torino.,Mompantero – MappaLocalizzazione del comune di Mompantero nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
