Beinasco comune,Beinasco comune.1
,
"Beinasco – Veduta""Palazzo della Municipalità""","Beinasco – Veduta""Palazzo della Municipalità"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Daniel Cannati (liste civiche + centro-destra) dal 18-10-2021
Territorio,Territorio
Coordinate,45°01′19.55″N 7°34′45.83″E
Altitudine,265 m s.l.m.
Superficie,"6,73 km²"
Abitanti,17 271[1] (30-11-2025)
Densità,"2 566,27 ab./km²"
Frazioni,"Borgaretto, Borgo Melano, Le Fornaci"
Comuni confinanti,"Nichelino, Orbassano, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10092
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001024
Cod. catastale,A734
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 591 GG[3]"
Nome abitanti,beinaschesi
Patrono,san Giacomo
Giorno festivo,21 luglio
Cartografia,Cartografia
Beinasco,Beinasco
Beinasco – MappaLocalizzazione del comune di Beinasco nella città metropolitana di Torino.,Beinasco – MappaLocalizzazione del comune di Beinasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
