Torrazza Piemonte comune,Torrazza Piemonte comune.1
,
Torrazza Piemonte – VedutaIl municipio,Torrazza Piemonte – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Massimo Rozzino (lista civica Torrazza bene comune) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°13′N 7°58′E
Altitudine,225 m s.l.m.
Superficie,"9,82 km²"
Abitanti,3 001[1] (30-11-2025)
Densità,"305,6 ab./km²"
Frazioni,Borgoregio
Comuni confinanti,"Rondissone, Saluggia (VC), Verolengo"
Altre informazioni,Altre informazioni
Cod. postale,10037
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001273
Cod. catastale,L238
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,torrazzesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Torrazza Piemonte,Torrazza Piemonte
Torrazza Piemonte – MappaLocalizzazione del comune di Torrazza Piemonte nella città metropolitana di Torino.,Torrazza Piemonte – MappaLocalizzazione del comune di Torrazza Piemonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
