Canischio comune,Canischio comune.1
,
Canischio – VedutaPanorama,Canischio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Riccardo Giuseppe Rosa Cardinal (lista civica Progresso canischiese[1]) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°22′26.35″N 7°35′46.06″E
Altitudine,659 m s.l.m.
Superficie,"11,95 km²"
Abitanti,272[2] (30-11-2025)
Densità,"22,76 ab./km²"
Comuni confinanti,"Alpette, Cuorgnè, Prascorsano, Pratiglione, San Colombano Belmonte, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001052
Cod. catastale,B605
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 342 GG[4]"
Nome abitanti,canischiesi
Patrono,San Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Canischio,Canischio
Canischio – MappaLocalizzazione del comune di Canischio nella città metropolitana di Torino.,Canischio – MappaLocalizzazione del comune di Canischio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
