Quassolo comune,Quassolo comune.1
,
Quassolo – VedutaPanorama dal Castello,Quassolo – VedutaPanorama dal Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Agostino Blanc (lista civica Indipendenti insieme per Quassolo) dal 27-5-2019
Territorio,Territorio
Coordinate,45°31′28.3″N 7°49′59.28″E
Altitudine,275 m s.l.m.
Superficie,"3,96 km²"
Abitanti,328[1] (30-11-2025)
Densità,"82,83 ab./km²"
Comuni confinanti,"Borgofranco d'Ivrea, Brosso, Settimo Vittone, Tavagnasco"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001209
Cod. catastale,H120
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 770 GG[3]"
Nome abitanti,quassolesi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Quassolo,Quassolo
Quassolo – MappaLocalizzazione del comune di Quassolo nella città metropolitana di Torino.,Quassolo – MappaLocalizzazione del comune di Quassolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
