Volpiano comune,Volpiano comune.1
,
Volpiano – VedutaSantuario di Santa Maria delle Grazie,Volpiano – VedutaSantuario di Santa Maria delle Grazie
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanni Panichelli (lista civica Uniti per Volpiano) dal 4-10-2021
Territorio,Territorio
Coordinate,45°12′N 7°47′E
Altitudine,219 m s.l.m.
Superficie,"32,46 km²"
Abitanti,15 056[1] (30-11-2025)
Densità,"463,83 ab./km²"
Frazioni,Cascine di Malone
Comuni confinanti,"Brandizzo, Chivasso, Leini, Lombardore, San Benigno Canavese, Settimo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10088
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001314
Cod. catastale,M122
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 682 GG[3]"
Nome abitanti,volpianesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Volpiano,Volpiano
Volpiano – MappaLocalizzazione del comune di Volpiano nella città metropolitana di Torino.,Volpiano – MappaLocalizzazione del comune di Volpiano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
