Ciconio comune,Ciconio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fabrizio Ferrarese (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°19′47.69″N 7°45′34.17″E
Altitudine,273 m s.l.m.
Superficie,"3,16 km²"
Abitanti,360[1] (30-11-2025)
Densità,"113,92 ab./km²"
Comuni confinanti,"Lusigliè, Ozegna, Rivarolo Canavese, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001083
Cod. catastale,C679
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 763 GG[3]"
Nome abitanti,ciconiesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ciconio,Ciconio
Ciconio – MappaLocalizzazione del comune di Ciconio nella città metropolitana di Torino.,Ciconio – MappaLocalizzazione del comune di Ciconio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
