Caselle Torinese comune,Caselle Torinese comune.1
,
Caselle Torinese – VedutaRotonda Ceccotti (Fiat G 91),Caselle Torinese – VedutaRotonda Ceccotti (Fiat G 91)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giuseppe Marsaglia Cagnola (Caselle nel Cuore) dal 13-6-2022
Territorio,Territorio
Coordinate,45°10′38.96″N 7°38′46.92″E
Altitudine,277 m s.l.m.
Superficie,"23,58[1] km²"
Abitanti,13 731[2] (30-11-2025)
Densità,"582,32 ab./km²"
Frazioni,"Borgata Francia, Gianotti, Grangiotti, Sant'Anna"
Comuni confinanti,"Borgaro Torinese, Leini, Mappano, San Maurizio Canavese, Venaria Reale"
Altre informazioni,Altre informazioni
Cod. postale,10072
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001063
Cod. catastale,B960
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 770 GG[4]"
Nome abitanti,casellesi
Patrono,san Vittore
Cartografia,Cartografia
Caselle Torinese,Caselle Torinese
Caselle Torinese – MappaLocalizzazione del comune di Caselle Torinese nella città metropolitana di Torino.,Caselle Torinese – MappaLocalizzazione del comune di Caselle Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
