Robassomero comune,Robassomero comune.1
,
Robassomero – VedutaIl municipio,Robassomero – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Rosalia Mangani
Territorio,Territorio
Coordinate,45°12′00.18″N 7°34′08.1″E
Altitudine,360 m s.l.m.
Superficie,"8,58 km²"
Abitanti,3 051[1] (30-11-2025)
Densità,"355,59 ab./km²"
Comuni confinanti,"Caselle Torinese, Cirié, Druento, Fiano, Nole, San Maurizio Canavese, Venaria Reale"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001220
Cod. catastale,H367
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 894 GG[3]"
Nome abitanti,robassomeresi
Patrono,san Gregorio Taumaturgo vescovo
Cartografia,Cartografia
Robassomero,Robassomero
Robassomero – MappaLocalizzazione del Comune di Robassomero nella Provincia di Torino.,Robassomero – MappaLocalizzazione del Comune di Robassomero nella Provincia di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
