Cuceglio comune,Cuceglio comune.1
,
Cuceglio – VedutaVeduta del paese,Cuceglio – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Antonino Iuculano Mamao (lista civica La rinascita di Cuceglio) dal 4-10-2021
Territorio,Territorio
Coordinate,45°21′33.97″N 7°48′54.67″E
Altitudine,375 m s.l.m.
Superficie,"6,87 km²"
Abitanti,921[1] (30-11-2025)
Densità,"134,06 ab./km²"
Frazioni,Cascine Cuffia
Comuni confinanti,"Agliè, Mercenasco, Montalenghe, San Giorgio Canavese, Scarmagno, Vialfrè"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001096
Cod. catastale,D197
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 706 GG[3]"
Nome abitanti,cucegliesi
Patrono,sant'Eusebio e san Pietro
Giorno festivo,1º agosto
Cartografia,Cartografia
Cuceglio,Cuceglio
Cuceglio – MappaLocalizzazione del comune di Cuceglio nella città metropolitana di Torino.,Cuceglio – MappaLocalizzazione del comune di Cuceglio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
