Strambino comune,Strambino comune.1
,
Strambino – VedutaVeduta,Strambino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sonia Cambursano (lista civica Per Strambino) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°23′N 7°53′E
Altitudine,250 m s.l.m.
Superficie,"22,47 km²"
Abitanti,6 007[1] (30-11-2025)
Densità,"267,33 ab./km²"
Frazioni,"Carrone, Cerone, Crotte, Realizio"
Comuni confinanti,"Candia Canavese, Caravino, Ivrea, Mercenasco, Romano Canavese, Vestignè, Vische"
Altre informazioni,Altre informazioni
Cod. postale,10019
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001269
Cod. catastale,I970
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 720 GG[3]"
Nome abitanti,strambinesi
Patrono,Madonna Incoronata
Cartografia,Cartografia
Strambino,Strambino
Strambino – MappaLocalizzazione del comune di Strambino nella città metropolitana di Torino.,Strambino – MappaLocalizzazione del comune di Strambino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
