Baldissero Canavese comune,Baldissero Canavese comune.1
,
Baldissero Canavese – VedutaLa parrocchiale dedicata all'Assunta e a San Martino,Baldissero Canavese – VedutaLa parrocchiale dedicata all'Assunta e a San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luigi Ferrero Vercelli (Gino) (lista civica) dal 28-3-2010
Territorio,Territorio
Coordinate,45°24′36.67″N 7°44′38.97″E
Altitudine,392 m s.l.m.
Superficie,"4,51 km²"
Abitanti,494[1] (30-11-2025)
Densità,"109,53 ab./km²"
Comuni confinanti,"Castellamonte, Strambinello, Torre Canavese, Vidracco, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001017
Cod. catastale,A590
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 732 GG[3]"
Nome abitanti,baldisseresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Baldissero Canavese,Baldissero Canavese
Baldissero Canavese – MappaLocalizzazione del comune di Baldissero Canavese nella città metropolitana di Torino.,Baldissero Canavese – MappaLocalizzazione del comune di Baldissero Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
