Settimo Torinese comune,Settimo Torinese comune.1
,
Settimo Torinese – VedutaChiesa di San Pietro in Vincoli nella piazza omonima,Settimo Torinese – VedutaChiesa di San Pietro in Vincoli nella piazza omonima
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Elena Piastra (PD) dal 10-6-2019
Territorio,Territorio
Coordinate,45°08′N 7°46′E
Altitudine,207 m s.l.m.
Superficie,"31,46[1] km²"
Abitanti,45 580[2] (30-11-2025)
Densità,"1 448,82 ab./km²"
Frazioni,"Boggia, Borgata Paradiso, Cebrosa, Fornacino, Le Villette, Moglia, Mezzi Po, Peroda, Pescarito, Villaggio Olimpia"
Comuni confinanti,"Brandizzo, Castiglione Torinese, Gassino Torinese, Leini, Mappano, San Mauro Torinese, San Raffaele Cimena, Torino, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10036
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001265
Cod. catastale,I703
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 664 GG[4]"
Nome abitanti,settimesi
Patrono,Corpi santi
Giorno festivo,la prima domenica di settembre ma le attività lavorative restano chiuse il giorno dopo (lunedì)
PIL procapite,(nominale) 23.551
Cartografia,Cartografia
Settimo Torinese,Settimo Torinese
Settimo Torinese – MappaPosizione del comune di Settimo Torinese all'interno della città metropolitana di Torino,Settimo Torinese – MappaPosizione del comune di Settimo Torinese all'interno della città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
