Banchette comune,Banchette comune.1
,
Banchette – VedutaVeduta del Castello,Banchette – VedutaVeduta del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Antonio Mazza (lista civica Insieme per crescere) dal 27-5-2019
Territorio,Territorio
Coordinate,45°27′12.81″N 7°51′22.74″E
Altitudine,266 m s.l.m.
Superficie,"2,03[1] km²"
Abitanti,3 099[2] (30-11-2025)
Densità,"1 526,6 ab./km²"
Comuni confinanti,"Fiorano Canavese, Ivrea, Pavone Canavese, Salerano Canavese, Samone"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001020
Cod. catastale,A607
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 756 GG[4]"
Nome abitanti,banchettesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Banchette,Banchette
Banchette – MappaLocalizzazione del comune di Banchette nella città metropolitana di Torino.,Banchette – MappaLocalizzazione del comune di Banchette nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
