Viù comune,Viù comune.1
,
Viù – VedutaPanorama dalle porte di Viù,Viù – VedutaPanorama dalle porte di Viù
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Daniela Majrano (lista civica) dal 7-6-2009
Territorio,Territorio
Coordinate,45°14′18″N 7°22′32″E
Altitudine,"765 (min 600 - max 2,390) m s.l.m."
Superficie,"84,11 km²"
Abitanti,1 073[1] (30-11-2025)
Densità,"12,76 ab./km²"
Frazioni,"Aires, Asciutti, Balma, Bertesseno, Chiaberge, Col del Lys, Col San Giovanni, Corgnolero, Cramoletti, Crotti, Fubina, Fucine, Giet, Guicciardera, Laiolo, Maddalene, Molar, Mondrezza, Niquidetto, Oldrì, Pessinea, Polpresa, Richiaglio, Rochiettera, Salvagnengo, Toglie, Tornetti, Trichera, Tuberghengo, Venera, Vernai, Versino Brendo"
Comuni confinanti,"Condove, Germagnano, Lemie, Mezzenile, Rubiana, Traves, Val della Torre, Vallo Torinese, Varisella"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001313
Cod. catastale,M094
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 515 GG[3]"
Nome abitanti,viucesi
Patrono,san Martino
Cartografia,Cartografia
Viù,Viù
Viù – MappaLocalizzazione del comune di Viù nella città metropolitana di Torino.,Viù – MappaLocalizzazione del comune di Viù nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
