Brusasco comune,Brusasco comune.1
,
Brusasco – VedutaVeduta di Palazzo Ellena,Brusasco – VedutaVeduta di Palazzo Ellena
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giulio Bosso (lista civica Progettiamo per crescere) dal 4-10-2021
Territorio,Territorio
Coordinate,45°09′19.77″N 8°03′36.37″E
Altitudine,170 m s.l.m.
Superficie,"14,36 km²"
Abitanti,1 501[1] (30-11-2025)
Densità,"104,53 ab./km²"
Frazioni,"Cadacorte, Casa Coppa, Case Sparse, Garibaldi, Ghiaro, Marcorengo, Mogol, San Bernardo, Valle, Villaggio Maddalena"
Comuni confinanti,"Brozolo, Cavagnolo, Crescentino (VC), Monteu da Po, Moransengo-Tonengo (AT), Verolengo, Verrua Savoia"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001039
Cod. catastale,B225
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 609 GG[3]"
Nome abitanti,brusaschesi
Patrono,san Luigi Gonzaga
Giorno festivo,21 giugno
Cartografia,Cartografia
Brusasco,Brusasco
Brusasco – MappaLocalizzazione del comune di Brusasco nella città metropolitana di Torino.,Brusasco – MappaLocalizzazione del comune di Brusasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
