Piossasco comune,Piossasco comune.1
,
Piossasco – VedutaVeduta con la chiesa di San Vito,Piossasco – VedutaVeduta con la chiesa di San Vito
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Simona Raneri (centro-sinistra) dal 2024
Territorio,Territorio
Coordinate,44°59′26″N 7°27′49.33″E
Altitudine,304 m s.l.m.
Superficie,"40,15 km²"
Abitanti,17 866[1] (30-11-2025)
Densità,"444,98 ab./km²"
Frazioni,"Abate, Barboschi, Brentatori, Campetto, Ciampetto, Colomba, Duis, Gaj, Garola, Generala, Giorda, I Galli, Lupi, Maritani, Merlino, Mompalà, Prese, Rivetta, San Vito, Tetti Olli, Tetti Scaglia, Villaggio Nuovo"
Comuni confinanti,"Bruino, Cumiana, Rivalta di Torino, Sangano, Trana, Volvera"
Altre informazioni,Altre informazioni
Cod. postale,10045
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001194
Cod. catastale,G691
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,piossaschesi
Patrono,Madonna del Carmine
Giorno festivo,9 luglio
Cartografia,Cartografia
Piossasco,Piossasco
Piossasco – MappaLocalizzazione del comune di Piossasco nella città metropolitana di Torino.,Piossasco – MappaLocalizzazione del comune di Piossasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
