Grosso comune,Grosso comune.1
,
Grosso – VedutaLa facciata del castello,Grosso – VedutaLa facciata del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Lorenzo Spingore (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°15′27.01″N 7°33′28.47″E
Altitudine,394 m s.l.m.
Superficie,"4,33 km²"
Abitanti,1 000[1] (30-11-2025)
Densità,"230,95 ab./km²"
Frazioni,"Case Maciurlat, Vauda, Vigna"
Comuni confinanti,"Corio, Mathi, Nole, Villanova Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001119
Cod. catastale,E203
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 945 GG[3]"
Nome abitanti,grossesi
Patrono,"san Lorenzo martire, santo Stefano, san Giuseppe"
Giorno festivo,19 marzo
Cartografia,Cartografia
Grosso,Grosso
Grosso – MappaLocalizzazione del comune di Grosso nella città metropolitana di Torino.,Grosso – MappaLocalizzazione del comune di Grosso nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
