Valgioie comune,Valgioie comune.1
,
Valgioie – VedutaValgioie vista dal Monte Brunello,Valgioie – VedutaValgioie vista dal Monte Brunello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Grosso (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,45°05′N 7°20′E
Altitudine,"870 (min 300 - max 1,312) m s.l.m."
Superficie,"9,12 km²"
Abitanti,988[1] (30-11-2025)
Densità,"108,33 ab./km²"
Frazioni,"Colle Braida, Levrette, Chiappero, Chiodrero (sede comunale), Modoprato, Combravino, Bussone, Molino, Tortorello, Case Mastropietro, Casa Vai"
Comuni confinanti,"Avigliana, Chiusa di San Michele, Coazze, Giaveno, Sant'Ambrogio di Torino"
Altre informazioni,Altre informazioni
Cod. postale,10094
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001285
Cod. catastale,L578
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 659 GG[3]"
Nome abitanti,valgioiesi
Patrono,san Pio
Giorno festivo,11 luglio
Cartografia,Cartografia
Valgioie,Valgioie
Valgioie – MappaLocalizzazione del comune di Valgioie nella città metropolitana di Torino.,Valgioie – MappaLocalizzazione del comune di Valgioie nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
