Mathi comune,Mathi comune.1
,
Mathi – VedutaChiesa parrocchiale di San Mauro,Mathi – VedutaChiesa parrocchiale di San Mauro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Vittorio Rocchietti (lista civica Sentirsi a Mathi) dal 15-5-2023
Territorio,Territorio
Coordinate,45°15′18.62″N 7°32′31.14″E
Altitudine,410 m s.l.m.
Superficie,"7,07 km²"
Abitanti,3 664[1] (30-11-2025)
Densità,"518,25 ab./km²"
Comuni confinanti,"Balangero, Cafasse, Corio, Grosso, Villanova Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10075
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001146
Cod. catastale,F053
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 005 GG[3]"
Nome abitanti,mathiesi
Patrono,san Mauro
Giorno festivo,15 gennaio
Cartografia,Cartografia
Mathi,Mathi
Mathi – MappaLocalizzazione del comune di Mathi nella città metropolitana di Torino.,Mathi – MappaLocalizzazione del comune di Mathi nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
