Torre Pellice comune,Torre Pellice comune.1
,
Torre Pellice – VedutaLa Casa Valdese a Torre Pellice,Torre Pellice – VedutaLa Casa Valdese a Torre Pellice
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maurizia Margherita Allisio (lista civica Spighe fra i monti) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°49′13″N 7°13′24″E
Altitudine,516 (min 500 - max 2 269) m s.l.m.
Superficie,"21,1 km²"
Abitanti,4 571[1] (30-11-2025)
Densità,"216,64 ab./km²"
Frazioni,Chabriols
Comuni confinanti,"Angrogna, Luserna San Giovanni, Rorà, Villar Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10066
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001275
Cod. catastale,L277
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 128 GG[3]"
Nome abitanti,torresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Torre Pellice,Torre Pellice
Torre Pellice – MappaLocalizzazione del comune di Torre Pellice nella città metropolitana di Torino.,Torre Pellice – MappaLocalizzazione del comune di Torre Pellice nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
