Brosso comune,Brosso comune.1
,
Brosso – VedutaLa piazza del Municipio,Brosso – VedutaLa piazza del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Anna Serafina Vigliermo Brusso (lista civica Caro Brosso) dal 4-10-2021
Territorio,Territorio
Coordinate,45°29′33.01″N 7°48′11.84″E
Altitudine,797 m s.l.m.
Superficie,"11,14 km²"
Abitanti,390[1] (30-11-2025)
Densità,"35,01 ab./km²"
Comuni confinanti,"Borgofranco d'Ivrea, Lessolo, Quassolo, Tavagnasco, Traversella, Valchiusa"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001036
Cod. catastale,B205
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 420 GG[3]"
Nome abitanti,brossesi o brossolesi
Patrono,san Michele
Giorno festivo,26 settembre
Cartografia,Cartografia
Brosso,Brosso
Brosso – MappaLocalizzazione del comune di Brosso nella città metropolitana di Torino.,Brosso – MappaLocalizzazione del comune di Brosso nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
