Moriondo Torinese comune,Moriondo Torinese comune.1
,
Moriondo Torinese – VedutaVista del centro di Moriondo Torinese dalla strada principale che attraversa il comune,Moriondo Torinese – VedutaVista del centro di Moriondo Torinese dalla strada principale che attraversa il comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giuseppe Grande (lista civica) dal 7-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°02′15.54″N 7°56′24.1″E
Altitudine,323 m s.l.m.
Superficie,"6,67 km²"
Abitanti,828[1] (30-11-2025)
Densità,"124,14 ab./km²"
Frazioni,"Bausone, Lovencito."
Comuni confinanti,"Buttigliera d'Asti (AT), Castelnuovo Don Bosco (AT), Mombello di Torino, Moncucco Torinese (AT), Riva presso Chieri"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001163
Cod. catastale,F733
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 846 GG[3]"
Nome abitanti,moriondesi
Patrono,Santissimo Salvatore
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Moriondo Torinese,Moriondo Torinese
Moriondo Torinese – MappaLocalizzazione del comune di Moriondo Torinese nella città metropolitana di Torino.,Moriondo Torinese – MappaLocalizzazione del comune di Moriondo Torinese nella città metropolitana di Torino.
[www.comune.moriondo.to.it Sito istituzionale],[www.comune.moriondo.to.it Sito istituzionale]
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
