San Maurizio Canavese comune,San Maurizio Canavese comune.1
,
San Maurizio Canavese – VedutaChiesa parrocchiale di San Maurizio,San Maurizio Canavese – VedutaChiesa parrocchiale di San Maurizio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Michelangelo Picat Re (lista civica Fonte Viva San Maurizio) dal 14-6-2022
Territorio,Territorio
Coordinate,45°13′01.38″N 7°37′49.87″E
Altitudine,317 m s.l.m.
Superficie,"17,34 km²"
Abitanti,10 286[1] (30-11-2025)
Densità,"593,19 ab./km²"
Frazioni,"Ceretta, Malanghero"
Comuni confinanti,"Caselle Torinese, Cirié, Leini, Robassomero, San Carlo Canavese, San Francesco al Campo"
Altre informazioni,Altre informazioni
Cod. postale,10077
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001248
Cod. catastale,I024
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 830 GG[3]"
Nome abitanti,sanmauriziesi
Patrono,san Maurizio martire
Giorno festivo,22 settembre
Cartografia,Cartografia
San Maurizio Canavese,San Maurizio Canavese
San Maurizio Canavese – MappaLocalizzazione del comune di San Maurizio Canavese nella città metropolitana di Torino.,San Maurizio Canavese – MappaLocalizzazione del comune di San Maurizio Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
