Borgone Susa comune,Borgone Susa comune.1
,
Borgone Susa – VedutaVeduta del paese,Borgone Susa – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Diego Mele (lista civica) dal 21-6-2019
Territorio,Territorio
Coordinate,45°07′22.24″N 7°14′22.96″E
Altitudine,394 (min 377 - max 703) m s.l.m.
Superficie,"4,96 km²"
Abitanti,2 254[1] (30-11-2025)
Densità,"454,44 ab./km²"
Frazioni,San Valeriano
Comuni confinanti,"Condove, San Didero, Sant'Antonino di Susa, Villar Focchiardo"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001032
Cod. catastale,B024
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 945 GG[3]"
Nome abitanti,borgonesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Borgone Susa,Borgone Susa
Borgone Susa – MappaLocalizzazione del comune di Borgone Susa nella città metropolitana di Torino.,Borgone Susa – MappaLocalizzazione del comune di Borgone Susa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
