Samone comune,Samone comune.1
,
Samone – VedutaLa chiesa di San Rocco,Samone – VedutaLa chiesa di San Rocco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Lorenzo Pietro Poletto (lista civica Samone sceglie) dal 21-9-2020
Territorio,Territorio
Coordinate,45°27′01.99″N 7°50′42.87″E
Altitudine,247 m s.l.m.
Superficie,"2,43 km²"
Abitanti,1 543[1] (30-11-2025)
Densità,"634,98 ab./km²"
Comuni confinanti,"Banchette, Colleretto Giacosa, Fiorano Canavese, Loranzè, Pavone Canavese, Salerano Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001235
Cod. catastale,H753
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 728 GG[3]"
Nome abitanti,samonesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Samone,Samone
Samone – MappaLocalizzazione del comune di Samone nella città metropolitana di Torino.,Samone – MappaLocalizzazione del comune di Samone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
