Vauda Canavese comune,Vauda Canavese comune.1
,
Vauda Canavese – VedutaVeduta Chiesa Parrocchiale,Vauda Canavese – VedutaVeduta Chiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Fiorio (lista civica Vivere Vauda[1]) dal 25-5-2014
Territorio,Territorio
Coordinate,45°16′48.53″N 7°37′32.1″E
Altitudine,396 m s.l.m.
Superficie,"7,09 km²"
Abitanti,1 418[2] (30-11-2025)
Densità,200 ab./km²
Frazioni,"Palazzo Grosso, Vauda Inferiore"
Comuni confinanti,"Busano, Rocca Canavese, Barbania, San Carlo Canavese, Front, San Francesco al Campo"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001290
Cod. catastale,L698
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 948 GG[4]"
Nome abitanti,vaudesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Vauda Canavese,Vauda Canavese
Vauda Canavese – MappaLocalizzazione del comune di Vauda Canavese nella città metropolitana di Torino.,Vauda Canavese – MappaLocalizzazione del comune di Vauda Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
