Salza di Pinerolo comune,Salza di Pinerolo comune.1
,
Salza di Pinerolo – VedutaVeduta,Salza di Pinerolo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ezio Sanmartino (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°56′26.35″N 7°03′11.68″E
Altitudine,1 210 (min 1 008 - max 2 886) m s.l.m.
Superficie,"15,89 km²"
Abitanti,65[1] (30-11-2025)
Densità,"4,09 ab./km²"
Frazioni,"Didiero, Coppi, Inverso, Campoforano, Serre, Meynier, Missiera, Fontane, Serrevecchio"
Comuni confinanti,"Massello, Perrero, Pragelato, Prali"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001234
Cod. catastale,H734
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 169 GG[3]"
Nome abitanti,salzini
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Salza di Pinerolo,Salza di Pinerolo
Salza di Pinerolo – MappaLocalizzazione del comune di Salza di Pinerolo nella città metropolitana di Torino.,Salza di Pinerolo – MappaLocalizzazione del comune di Salza di Pinerolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
