Ceres comune,Ceres comune.1
,
Ceres – VedutaVista dal Monte Crestà,Ceres – VedutaVista dal Monte Crestà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Davide Eboli (lista civica Vecchio campanile) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°18′48.16″N 7°23′22.88″E
Altitudine,704 m s.l.m.
Superficie,"28,05 km²"
Abitanti,958[1] (30-11-2025)
Densità,"34,15 ab./km²"
Frazioni,"Almesio, Arveir, Balmassa, Bracchiello, Cernesio, Cesale, Chiamorio, Chiampernotto, Fè, Procaria, Vana, Vernetto, Voragno"
Comuni confinanti,"Ala di Stura, Cantoira, Chialamberto, Mezzenile, Monastero di Lanzo, Pessinetto"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001072
Cod. catastale,C497
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 410 GG[3]"
Nome abitanti,ceresini
Patrono,santa Maria Assunta
Cartografia,Cartografia
Ceres,Ceres
Ceres – MappaLocalizzazione del comune di Ceres nella città metropolitana di Torino.,Ceres – MappaLocalizzazione del comune di Ceres nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
