Feletto comune,Feletto comune.1
,
Feletto – VedutaPanorama,Feletto – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maria Cristina Ferrero (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°18′13.87″N 7°44′40.99″E
Altitudine,275 m s.l.m.
Superficie,"7,89 km²"
Abitanti,2 158[1] (30-11-2025)
Densità,"273,51 ab./km²"
Comuni confinanti,"Bosconero, Lusigliè, Rivarolo Canavese, San Giorgio Canavese, San Giusto Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001102
Cod. catastale,D524
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 662 GG[3]"
Nome abitanti,felettesi
Patrono,san Vittorio martire
Cartografia,Cartografia
Feletto,Feletto
Feletto – MappaLocalizzazione del comune di Feletto nella città metropolitana di Torino.,Feletto – MappaLocalizzazione del comune di Feletto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
