Mattie comune,Mattie comune.1
,
Mattie – Veduta,Mattie – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marina Pittau (Movimento Zone Franche Montane) dal 27-5-2019
Territorio,Territorio
Coordinate,45°07′05.31″N 7°06′54.39″E
Altitudine,730 m s.l.m.
Superficie,"28,69 km²"
Abitanti,679[1] (30-11-2025)
Densità,"23,67 ab./km²"
Comuni confinanti,"Bussoleno, Fenestrelle, Meana di Susa, Roure, Susa"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001147
Cod. catastale,F058
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 449 GG[3]"
Nome abitanti,mattiesi
Patrono,santi Cornelio e Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Mattie,Mattie
Mattie – MappaLocalizzazione del comune di Mattie nella città metropolitana di Torino.,Mattie – MappaLocalizzazione del comune di Mattie nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
