Cantalupa comune,Cantalupa comune.1
,
Cantalupa – VedutaCantalupa vista dal Monte Brunello,Cantalupa – VedutaCantalupa vista dal Monte Brunello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesco Brizio Falletti Di Castellazzo (lista civica Cantalupa verso il 2030) dal 10-6-2024
Territorio,Territorio
Coordinate,44°56′45.39″N 7°19′49.14″E
Altitudine,459 m s.l.m.
Superficie,"11,2 km²"
Abitanti,2 584[1] (30-11-2025)
Densità,"230,71 ab./km²"
Comuni confinanti,"Cumiana, Frossasco, Roletto"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001053
Cod. catastale,B628
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 936 GG[3]"
Nome abitanti,cantalupesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Cantalupa,Cantalupa
Cantalupa – MappaLocalizzazione del comune di Cantalupa nella città metropolitana di Torino.,Cantalupa – MappaLocalizzazione del comune di Cantalupa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
