Sciolze comune,Sciolze comune.1
,
Sciolze – VedutaPanorama del paese,Sciolze – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Vittorio Moncalvo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°06′N 7°53′E
Altitudine,436 m s.l.m.
Superficie,"11,36 km²"
Abitanti,1 423[1] (30-11-2025)
Densità,"125,26 ab./km²"
Comuni confinanti,"Cinzano, Gassino Torinese, Marentino, Moncucco Torinese (AT), Montaldo Torinese, Rivalba"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001262
Cod. catastale,I539
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 008 GG[3]"
Nome abitanti,sciolzesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Sciolze,Sciolze
Sciolze – MappaLocalizzazione del comune di Sciolze nella città metropolitana di Torino,Sciolze – MappaLocalizzazione del comune di Sciolze nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
