Pecetto Torinese comune,Pecetto Torinese comune.1
,
Pecetto Torinese – VedutaPanorama,Pecetto Torinese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Adriano Pizzo (lista civica Dimensione paese) dal 10-6-2024
Territorio,Territorio
Coordinate,45°01′00.78″N 7°44′59.82″E
Altitudine,398 (min 254 - max 715) m s.l.m.
Superficie,"9,17 km²"
Abitanti,4 017[1] (30-11-2025)
Densità,"438,06 ab./km²"
Frazioni,"Borgo San Martino, Eremo, San Luca, Tetti Rosero, Valle San Pietro"
Comuni confinanti,"Cambiano, Chieri, Moncalieri, Pino Torinese, Torino, Trofarello"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001183
Cod. catastale,G398
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 964 GG[3]"
Nome abitanti,pecettesi
Cartografia,Cartografia
Pecetto Torinese,Pecetto Torinese
Pecetto Torinese – MappaLocalizzazione del comune di Pecetto Torinese nella città metropolitana di Torino.,Pecetto Torinese – MappaLocalizzazione del comune di Pecetto Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
