Bruino comune,Bruino comune.1
,
Bruino – VedutaVeduta,Bruino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Andrea Appiano (lista civica Insieme per Bruino) dal 10-6-2024
Territorio,Territorio
Coordinate,45°01′16.15″N 7°28′06.78″E
Altitudine,320 m s.l.m.
Superficie,"5,57 km²"
Abitanti,8 347[1] (30-11-2025)
Densità,"1 498,56 ab./km²"
Frazioni,"La Quercia, La Stricca, Marinella, Valverde, Villaggio Alba Serena"
Comuni confinanti,"Piossasco, Rivalta di Torino, Sangano"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001038
Cod. catastale,B216
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 834 GG[3]"
Nome abitanti,Bruinesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Bruino,Bruino
Bruino – MappaLocalizzazione del comune di Bruino nella città metropolitana di Torino.,Bruino – MappaLocalizzazione del comune di Bruino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
