Pavone Canavese comune,Pavone Canavese comune.1
,
Pavone Canavese – VedutaVeduta di Pavone e del castello,Pavone Canavese – VedutaVeduta di Pavone e del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Endro Giacomo Bevolo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°26′15.21″N 7°51′06.17″E
Altitudine,262 m s.l.m.
Superficie,"11,54 km²"
Abitanti,3 627[1] (30-11-2025)
Densità,"314,3 ab./km²"
Comuni confinanti,"Banchette, Colleretto Giacosa, Ivrea, Perosa Canavese, Romano Canavese, Samone, San Martino Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10018
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001181
Cod. catastale,G392
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 751 GG[3]"
Nome abitanti,pavonesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Pavone Canavese,Pavone Canavese
Pavone Canavese – MappaLocalizzazione del comune di Pavone Canavese nella città metropolitana di Torino.,Pavone Canavese – MappaLocalizzazione del comune di Pavone Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
