Arignano comune,Arignano comune.1
,
Arignano – Veduta,Arignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ferdinando Scimone (lista civica Siamo Arignano) dal 27-5-2019
Territorio,Territorio
Coordinate,45°02′24.99″N 7°54′05.74″E
Altitudine,321 m s.l.m.
Superficie,"8,17 km²"
Abitanti,1 075[1] (30-11-2025)
Densità,"131,58 ab./km²"
Frazioni,"Moano, Oriassolo, Tetti Chiaffredo, Tetti Gianchino"
Comuni confinanti,"Andezeno, Chieri, Marentino, Mombello di Torino, Moncucco Torinese (AT), Riva presso Chieri"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001012
Cod. catastale,A405
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 835 GG[3]"
Nome abitanti,arignanesi
Patrono,san Remigio[non chiaro]
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Arignano,Arignano
Arignano – MappaLocalizzazione del comune di Arignano nella città metropolitana di Torino.,Arignano – MappaLocalizzazione del comune di Arignano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
