Sant'Ambrogio di Torino comune,Sant'Ambrogio di Torino comune.1
,
Sant'Ambrogio di Torino – VedutaVeduta dal monte Musinè,Sant'Ambrogio di Torino – VedutaVeduta dal monte Musinè
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Silvano Barella (Cittadini in Movimento) dall'11-06-2024
Territorio,Territorio
Coordinate,45°06′N 7°22′E
Altitudine,"356 (min 339 - max 1,141) m s.l.m."
Superficie,"8,37 km²"
Abitanti,4 500[1] (30-11-2025)
Densità,"537,63 ab./km²"
Frazioni,"Borgata Bertassi, Borgata San Pietro"
Comuni confinanti,"Avigliana, Caprie, Chiusa di San Michele, Valgioie, Villar Dora"
Altre informazioni,Altre informazioni
Cod. postale,10057
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001255
Cod. catastale,I258
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 888 GG[3]"
Nome abitanti,santambrogesi
Patrono,san Giovanni Vincenzo
Giorno festivo,21 novembre
Cartografia,Cartografia
Sant'Ambrogio di Torino,Sant'Ambrogio di Torino
Sant'Ambrogio di Torino – MappaLocalizzazione del comune di Sant'Ambrogio di Torino nella città metropolitana di Torino.,Sant'Ambrogio di Torino – MappaLocalizzazione del comune di Sant'Ambrogio di Torino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
