Caravino comune,Caravino comune.1
,
Caravino – VedutaVeduta,Caravino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Adriano Siletti (lista civica Per Caravino e Masino) dal 4-10-2021
Territorio,Territorio
Coordinate,45°23′53.73″N 7°57′37.16″E
Altitudine,257 m s.l.m.
Superficie,"11,47 km²"
Abitanti,886[1] (30-11-2025)
Densità,"77,24 ab./km²"
Frazioni,Masino
Comuni confinanti,"Albiano d'Ivrea, Azeglio, Borgomasino, Cossano Canavese, Strambino, Settimo Rottaro, Vestignè"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001056
Cod. catastale,B733
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 743 GG[3]"
Nome abitanti,caravinesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Caravino,Caravino
Caravino – MappaLocalizzazione del comune di Caravino nella città metropolitana di Torino.,Caravino – MappaLocalizzazione del comune di Caravino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
