Romano Canavese comune,Romano Canavese comune.1
,
Romano Canavese – VedutaPanorama,Romano Canavese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Oscarino Ferrero (lista civica di centro-sinistra) dal 14-6-2009
Territorio,Territorio
Coordinate,45°23′19.17″N 7°51′59.47″E
Altitudine,270 m s.l.m.
Superficie,"11,21 km²"
Abitanti,2 714[1] (30-11-2025)
Densità,"242,11 ab./km²"
Frazioni,Canton Moretti
Comuni confinanti,"Ivrea, Mercenasco, Pavone Canavese, Perosa Canavese, Scarmagno, Strambino"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001223
Cod. catastale,H511
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 762 GG[3]"
Nome abitanti,romanesi
Patrono,san Prospero
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Romano Canavese,Romano Canavese
Romano Canavese – MappaLocalizzazione del comune di Romano Canavese nella città metropolitana di Torino.,Romano Canavese – MappaLocalizzazione del comune di Romano Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
