Chiaverano comune,Chiaverano comune.1
,
Chiaverano – VedutaCampanile della parrocchiale al tramonto,Chiaverano – VedutaCampanile della parrocchiale al tramonto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maurizio Tentarelli (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°29′55.9″N 7°54′09.43″E
Altitudine,329 m (minima 237m massima 792m) m s.l.m.
Superficie,"12,02 km²"
Abitanti,1 961[1] (30-11-2025)
Densità,"163,14 ab./km²"
Frazioni,Bienca
Comuni confinanti,"Donato (BI), Andrate, Borgofranco d'Ivrea, Sala Biellese (BI), Torrazzo (BI), Montalto Dora, Burolo, Ivrea, Cascinette d'Ivrea"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001077
Cod. catastale,C624
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 848 GG[3]"
Nome abitanti,chiaveranesi
Patrono,"santa Teodora, San Silvestro"
Giorno festivo,11 settembre
Cartografia,Cartografia
Chiaverano,Chiaverano
Chiaverano – MappaLocalizzazione del comune di Chiaverano nella città metropolitana di Torino.,Chiaverano – MappaLocalizzazione del comune di Chiaverano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
