Villar Dora comune,Villar Dora comune.1
,
Villar Dora – VedutaPanorama,Villar Dora – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Norma Tabone (lista civica) dall'11-06-2024
Territorio,Territorio
Coordinate,45°07′N 7°23′E
Altitudine,367 (min 345 - max 1 508) m s.l.m.
Superficie,"5,71 km²"
Abitanti,2 793[1] (30-11-2025)
Densità,"489,14 ab./km²"
Frazioni,"Andruini, Baratta, Bert, Borgionera, Bosio (Colombo e Maltrot), Calliero, Cordonatto, Giorda, Merlo, Molino, Montecomposto, Morando, Richetto, Suppo, Torre del Colle, Vindrola."
Comuni confinanti,"Almese, Avigliana, Caprie, Rubiana, Sant'Ambrogio di Torino"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001303
Cod. catastale,L999
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 904 GG[3]"
Nome abitanti,villardoresi
Patrono,"San Rocco[4][5][6], Santi Vincenzo e Anastasio[7]"
Giorno festivo,16 agosto
Cartografia,Cartografia
Villar Dora,Villar Dora
Villar Dora – MappaLocalizzazione del comune di Villar Dora nella città metropolitana di Torino.,Villar Dora – MappaLocalizzazione del comune di Villar Dora nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
