Andezeno comune,Andezeno comune.1
,
Andezeno – VedutaPanorama del paese,Andezeno – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Agostino Ambrassa (lista civica Tutti per Andezeno) dal 09-5-2024
Territorio,Territorio
Coordinate,45°02′15.89″N 7°52′13.9″E
Altitudine,306 m s.l.m.
Superficie,"7,49 km²"
Abitanti,1 981[1] (30-11-2025)
Densità,"264,49 ab./km²"
Comuni confinanti,"Arignano, Chieri, Marentino, Montaldo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001009
Cod. catastale,A275
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 813 GG[3]"
Nome abitanti,andezenesi
Patrono,"san Giorgio, santa Giustina"
Giorno festivo,25 aprile
Cartografia,Cartografia
Andezeno,Andezeno
Andezeno – MappaLocalizzazione del comune di Andezeno nella città metropolitana di Torino.,Andezeno – MappaLocalizzazione del comune di Andezeno nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
