Balangero comune,Balangero comune.1
,
Balangero – VedutaPanorama,Balangero – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Franco Romeo (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°16′31.16″N 7°31′13.02″E
Altitudine,440 m s.l.m.
Superficie,"13,01 km²"
Abitanti,3 084[1] (30-11-2025)
Densità,"237,05 ab./km²"
Comuni confinanti,"Cafasse, Coassolo Torinese, Corio, Lanzo Torinese, Mathi"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001016
Cod. catastale,A587
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 085 GG[3]"
Nome abitanti,balangeresi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Balangero,Balangero
Balangero – MappaLocalizzazione del comune di Balangero nella città metropolitana di Torino.,Balangero – MappaLocalizzazione del comune di Balangero nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
