None comune,None comune.1
,
"None – VedutaPiazza Cavour e Chiesa di San Rocco, 2014","None – VedutaPiazza Cavour e Chiesa di San Rocco, 2014"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Loredana Emma Brussino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°55′59.31″N 7°32′24.44″E
Altitudine,246 m s.l.m.
Superficie,"24,64 km²"
Abitanti,7 649[1] (30-11-2025)
Densità,"310,43 ab./km²"
Comuni confinanti,"Airasca, Candiolo, Castagnole Piemonte, Orbassano, Piobesi Torinese, Scalenghe, Vinovo, Volvera"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001168
Cod. catastale,F931
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,nonesi
Patrono,santi Gervasio e Protasio
Cartografia,Cartografia
,
None – MappaLocalizzazione del comune di None nella città metropolitana di Torino.,None – MappaLocalizzazione del comune di None nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
