Vigone comune,Vigone comune.1
,
Vigone – VedutaVista di Vigone,Vigone – VedutaVista di Vigone
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fabio Cerato (lista civica Obiettivo Vigone) dal 13-6-2022[1]
Territorio,Territorio
Coordinate,44°51′N 7°30′E
Altitudine,260 (min 247 - max 284) m s.l.m.
Superficie,"41,15 km²"
Abitanti,5 041[2] (30-11-2025)
Densità,"122,5 ab./km²"
Frazioni,"Gunia, Quintanello, Trepellice, Zucchea"
Comuni confinanti,"Buriasco, Cavour, Cercenasco, Macello, Pancalieri, Villafranca Piemonte, Virle Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10067
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001299
Cod. catastale,L898
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 643 GG[4]"
Nome abitanti,vigonesi
Patrono,san Nicola da Tolentino
Cartografia,Cartografia
Vigone,Vigone
Vigone – MappaLocalizzazione del Comune di Vigone nella Città metropolitana di Torino.,Vigone – MappaLocalizzazione del Comune di Vigone nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
