Carmagnola comune,Carmagnola comune.1
,
Carmagnola – VedutaPiazza Sant'Agostino,Carmagnola – VedutaPiazza Sant'Agostino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ivana Gaveglio (centro-destra) dal 20-6-2016
Territorio,Territorio
Coordinate,44°50′49.01″N 7°43′04.35″E
Altitudine,240 (min 232 - max 273) m s.l.m.
Superficie,"95,72 km²"
Abitanti,28 005[1] (30-11-2025)
Densità,"292,57 ab./km²"
Frazioni,"Borgo Vecchio, Bossola, Cappuccini, Casanova, Cavalleri, Cavalleri Piccoli, Cocchi, Corno, Due Province, Fumeri, Gaidi, Madama, Morello, Motta, Oselle, Pocchettino, Salsasio, San Bernardo, San Giovanni, San Grato, San Michele, Santa Rita, Tetti Grandi, Tuninetti, Vallongo"
Comuni confinanti,"Caramagna Piemonte (CN), Carignano, Ceresole Alba (CN), Lombriasco, Poirino, Racconigi (CN), Sommariva del Bosco (CN), Villastellone"
Altre informazioni,Altre informazioni
Cod. postale,10022
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001059
Cod. catastale,B791
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 714 GG[3]"
Nome abitanti,carmagnolesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Motto,DAT CANDIDA COELO
Cartografia,Cartografia
Carmagnola,Carmagnola
Carmagnola – MappaPosizione del comune di Carmagnola nella città metropolitana di Torino.,Carmagnola – MappaPosizione del comune di Carmagnola nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
