Perosa Canavese comune,Perosa Canavese comune.1
,
Perosa Canavese – VedutaLa Torre Porta,Perosa Canavese – VedutaLa Torre Porta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Michele Borgia (lista civica) dal 15-4-2008 (3º mandato dal 10-6-2018)
Territorio,Territorio
Coordinate,45°23′49.41″N 7°49′50.95″E
Altitudine,265 m s.l.m.
Superficie,"4,71 km²"
Abitanti,497[1] (30-11-2025)
Densità,"105,52 ab./km²"
Comuni confinanti,"Pavone Canavese, Romano Canavese, San Martino Canavese, Scarmagno"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001185
Cod. catastale,G462
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 755 GG[3]"
Nome abitanti,perosiesi
Cartografia,Cartografia
Perosa Canavese,Perosa Canavese
Perosa Canavese – MappaLocalizzazione del comune di Perosa Canavese nella città metropolitana di Torino.,Perosa Canavese – MappaLocalizzazione del comune di Perosa Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
