Rueglio comune,Rueglio comune.1
,
Rueglio – VedutaPanorama di Rueglio visto da Cima Bossola,Rueglio – VedutaPanorama di Rueglio visto da Cima Bossola
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Gabriella Maria Laffaille (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°28′05.73″N 7°45′16.62″E
Altitudine,675 m s.l.m.
Superficie,"15,1 km²"
Abitanti,791[1] (30-11-2025)
Densità,"52,38 ab./km²"
Comuni confinanti,"Castellamonte, Castelnuovo Nigra, Issiglio, Valchiusa, Val di Chy, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001230
Cod. catastale,H631
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 268 GG[3]"
Nome abitanti,ruegliesi
Patrono,san Filippo e san Giacomo
Giorno festivo,1º maggio
Cartografia,Cartografia
Rueglio,Rueglio
Rueglio – MappaLocalizzazione del Comune di Rueglio nella Città metropolitana di Torino.,Rueglio – MappaLocalizzazione del Comune di Rueglio nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
