Prascorsano comune,Prascorsano comune.1
,
Prascorsano – VedutaVista da frazione Pemonte (sullo sfondo il Monte Soglio),Prascorsano – VedutaVista da frazione Pemonte (sullo sfondo il Monte Soglio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Piero Rolando Perino (lista civica Insieme per Prascorsano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°22′03.91″N 7°37′00.89″E
Altitudine,590 m s.l.m.
Superficie,"6,24 km²"
Abitanti,689[1] (30-11-2025)
Densità,"110,42 ab./km²"
Frazioni,"Cerialdo, Galassola, Pemonte, Prabasone, Tetti, Comunie"
Comuni confinanti,"Canischio, Cuorgnè, Pertusio, Pratiglione, Rivara, San Colombano Belmonte, Valperga"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001206
Cod. catastale,G988
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 239 GG[3]"
Nome abitanti,prascorsanesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Prascorsano,Prascorsano
Prascorsano – MappaLocalizzazione del comune di Prascorsano nella città metropolitana di Torino.,Prascorsano – MappaLocalizzazione del comune di Prascorsano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
