Virle Piemonte comune,Virle Piemonte comune.1
,
Virle Piemonte – Veduta,Virle Piemonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mattia Robasto (lista civica Lavoriamo per Virle) dal 31-5-2015
Territorio,Territorio
Coordinate,44°52′N 7°34′E
Altitudine,245 (min 242 - max 252) m s.l.m.
Superficie,"14,06 km²"
Abitanti,1 191[1] (30-11-2025)
Densità,"84,71 ab./km²"
Comuni confinanti,"Castagnole Piemonte, Cercenasco, Osasio, Pancalieri, Vigone"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001310
Cod. catastale,M069
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,virlesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Virle Piemonte,Virle Piemonte
Virle Piemonte – MappaLocalizzazione del comune di Virle Piemonte nella città metropolitana di Torino.,Virle Piemonte – MappaLocalizzazione del comune di Virle Piemonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
