Lessolo comune,Lessolo comune.1
,
Lessolo – VedutaCastello Cagnis,Lessolo – VedutaCastello Cagnis
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Walter Dagassolemi (lista civica Per Lessolo) dal 9-6-2024
Territorio,Territorio
Coordinate,45°28′41.73″N 7°48′52.98″E
Altitudine,272 m (minima 245 m massima 480 m) m s.l.m.
Superficie,"7,94 km²"
Abitanti,1 753[1] (30-11-2025)
Densità,"220,78 ab./km²"
Comuni confinanti,"Borgofranco d'Ivrea, Brosso, Fiorano Canavese, Montalto Dora, Valchiusa, Val di Chy"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001132
Cod. catastale,E551
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 773 GG[3]"
Nome abitanti,lessolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Lessolo,Lessolo
Lessolo – MappaLocalizzazione del comune di Lessolo nella città metropolitana di Torino.,Lessolo – MappaLocalizzazione del comune di Lessolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
