Pertusio comune,Pertusio comune.1
,
Pertusio – Veduta,Pertusio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Damini (lista civica Pertusio con noi) dal 4-10-2021
Territorio,Territorio
Coordinate,45°21′24.44″N 7°38′18.6″E
Altitudine,364 m s.l.m.
Superficie,4 km²
Abitanti,744[1] (30-11-2025)
Densità,186 ab./km²
Frazioni,Piandane
Comuni confinanti,"Prascorsano, Rivara, San Ponso, Valperga"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001187
Cod. catastale,G477
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 690 GG[3]"
Nome abitanti,Pertusiesi
Patrono,san Firmino
Cartografia,Cartografia
Pertusio,Pertusio
Pertusio – MappaLocalizzazione del comune di Pertusio nella città metropolitana di Torino.,Pertusio – MappaLocalizzazione del comune di Pertusio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
