Meana di Susa comune,Meana di Susa comune.1
,
Meana di Susa – VedutaPanorama dal Monte Fassolino,Meana di Susa – VedutaPanorama dal Monte Fassolino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Federico Ragalzi (lista civica) dall'8-9/6/2024
Territorio,Territorio
Coordinate,45°07′19.35″N 7°03′52.95″E
Altitudine,681 m s.l.m.
Superficie,"16,54 km²"
Abitanti,788[1] (30-11-2025)
Densità,"47,64 ab./km²"
Comuni confinanti,"Fenestrelle, Gravere, Mattie, Susa, Usseaux"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001149
Cod. catastale,F074
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 390 GG[3]"
Nome abitanti,Meanesi
Patrono,san Costanzo
Cartografia,Cartografia
Meana di Susa,Meana di Susa
Meana di Susa – MappaLocalizzazione del comune di Meana di Susa nella città metropolitana di Torino.,Meana di Susa – MappaLocalizzazione del comune di Meana di Susa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
