Villanova Canavese comune,Villanova Canavese comune.1
,
Villanova Canavese – VedutaVeduta della chiesa parrocchiale,Villanova Canavese – VedutaVeduta della chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Ferrero (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°14′06.66″N 7°32′51.08″E
Altitudine,380 m s.l.m.
Superficie,"4,03 km²"
Abitanti,1 196[1] (30-11-2025)
Densità,"296,77 ab./km²"
Frazioni,Prati
Comuni confinanti,"Cafasse, Fiano, Grosso, Mathi, Nole"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001301
Cod. catastale,L982
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 924 GG[3]"
Nome abitanti,Villanovesi
Patrono,san Massimo
Cartografia,Cartografia
Villanova Canavese,Villanova Canavese
Villanova Canavese – MappaLocalizzazione del comune di Villanova Canavese nella città metropolitana di Torino.,Villanova Canavese – MappaLocalizzazione del comune di Villanova Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
