Ala di Stura comune,Ala di Stura comune.1
,
Ala di Stura – VedutaPanorama,Ala di Stura – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Garbano (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°18′54.54″N 7°18′21.27″E
Altitudine,1 080 m s.l.m.
Superficie,"46,33 km²"
Abitanti,470[1] (30-11-2025)
Densità,"10,14 ab./km²"
Frazioni,"Canova, Cresto, Croce, Maronera, Martassina, Masone, Mondrone, Pertusetto, Pian del Tetto, Prato Alto, Prussello, Villar"
Comuni confinanti,"Balme, Ceres, Chialamberto, Groscavallo, Lemie, Mezzenile"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001003
Cod. catastale,A117
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 974 GG[3]"
Nome abitanti,alesi
Patrono,san Grato
Giorno festivo,4 settembre
Cartografia,Cartografia
Ala di Stura,Ala di Stura
Ala di Stura – MappaLocalizzazione del comune di Ala di Stura nella città metropolitana di Torino.,Ala di Stura – MappaLocalizzazione del comune di Ala di Stura nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
