Cambiano comune,Cambiano comune.1
,
Cambiano – VedutaParrocchiale,Cambiano – VedutaParrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Carlo Vergnano (centro-sinistra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°58′00″N 7°47′00″E
Altitudine,253 m s.l.m.
Superficie,"14,13 km²"
Abitanti,5 895[1] (30-11-2025)
Densità,"417,2 ab./km²"
Frazioni,Madonna della Scala
Comuni confinanti,"Chieri, Moncalieri, Pecetto Torinese, Pino Torinese, Santena, Trofarello, Villastellone"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001048
Cod. catastale,B462
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,cambianesi
Patrono,san Vincenzo e Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Cambiano,Cambiano
Cambiano – MappaLocalizzazione del comune di Cambiano nella città metropolitana di Torino.,Cambiano – MappaLocalizzazione del comune di Cambiano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
