San Colombano Belmonte comune,San Colombano Belmonte comune.1
,
San Colombano Belmonte – Veduta,San Colombano Belmonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Diego Galletto (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°22′56.11″N 7°37′15.65″E
Altitudine,550 m s.l.m.
Superficie,"3,38 km²"
Abitanti,361[1] (30-11-2025)
Densità,"106,8 ab./km²"
Frazioni,"Buasca, Cresto, Sale"
Comuni confinanti,"Canischio, Cuorgnè, Prascorsano"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001238
Cod. catastale,H804
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 179 GG[3]"
Nome abitanti,sancolombanesi
Patrono,san Grato
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
San Colombano Belmonte,San Colombano Belmonte
San Colombano Belmonte – MappaLocalizzazione del comune di San Colombano Belmonte nella città metropolitana di Torino.,San Colombano Belmonte – MappaLocalizzazione del comune di San Colombano Belmonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
