Agliè comune,Agliè comune.1
,
Agliè – VedutaIl castello,Agliè – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Succio (lista civica Agliè prima di tutto) dal 26-5-2014 (3º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°22′01.4″N 7°46′00.9″E
Altitudine,315 m s.l.m.
Superficie,"13,15 km²"
Abitanti,2 573[1] (30-11-2025)
Densità,"195,67 ab./km²"
Frazioni,"Madonna delle Grazie, San Grato, Santa Maria"
Comuni confinanti,"Bairo, Cuceglio, Ozegna, San Giorgio Canavese, San Martino Canavese, Torre Canavese, Vialfrè"
Altre informazioni,Altre informazioni
Cod. postale,10011
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001001
Cod. catastale,A074
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,alladiesi
Patrono,san Massimo di Riez
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Agliè,Agliè
Agliè – MappaLocalizzazione del comune di Agliè nella città metropolitana di Torino.,Agliè – MappaLocalizzazione del comune di Agliè nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
